abscodi,direction,latitude,longitude
028,"Passeig SANT JOAN 2, 08010 Barcelona",41.3917636,2.1802967
038,"Carrer GALILEU 104, 08028 Barcelona",41.3789684,2.1348491
041,"Carrer COLLBLANC 154-156, 08028 Barcelona",41.37601,2.1114008
047,"Carrer PI I MARGALL 5, 08024 Barcelona",41.40614120000001,2.1629718
022,"Carrer COMTE D'URGELL 95, 08011 Barcelona",41.3839399,2.1558844
062,"Carrer VILA-SECA 39, 08031 Barcelona",41.4347291,2.1652288
326,"Carrer AMERICA 46, 08041 Barcelona",41.4166586,2.1765924
075,"Carrer MALLORCA 554, 08026 Barcelona",41.4090755,2.1831666
077,"Carrer CLOT 88, 08018 Barcelona",41.408601,2.1887466
021,"Ronda SANT PAU 3, 08015 Barcelona",41.3753635,2.167148
042,"Carrer AVENIR 21, 08006 Barcelona",41.3968332,2.1486322
017,"Carrer MARQUESA 3, 08003 Barcelona",41.38298810000001,2.1849585
033,"Gran Via CORTS CATALANES 278, 08004 Barcelona",41.3714276,2.1447742
071,"Carrer PALLARS 145, 08018 Barcelona",41.3983895,2.1937922
043,"Carrer SARAGOSSA 42, 08006 Barcelona",41.4025968,2.1484349
025,"Carrer PROVENÇA 195, 08008 Barcelona",41.3918818,2.1573417
025,"Carrer MUNTANER 83, 08011 Barcelona",41.3878133,2.1573417
052,"Carrer SANT ANTONI MARIA CLARET 97, 08025 Barcelona",41.4084368,2.1703724
076,"Carrer ROGENT 118, 08026 Barcelona",41.4113366,2.1819464
025,"Carrer ARIBAU 91, 08036 Barcelona",41.3899914,2.1570338
018,"Carrer AVINYO 27, 08002 Barcelona",41.3805942,2.1782814
030,"Avinguda DIAGONAL 319, 08009 Barcelona",41.3991176,2.1713925
019,"Rambla DEL RAVAL 2, 08001 Barcelona",41.3793777,2.1680542
